id,fitnesses,complexity,max_density_z_coord
17,17.52205882352941,26.0,0.1033473587307067
53,18.409313725490197,40.0,0.10152694462724474
126,18.5984477124183,94.5,0.0988837851662312
8,15.967728758169937,28.0,0.0953435877284774
131,17.947712418300654,12.0,0.09364302635540622
106,19.698529411764703,27.5,0.09024563574775836
162,18.14093137254902,40.0,0.08914394980325353
187,17.146650326797385,34.0,0.0885576318872467
44,18.9109477124183,16.5,0.08690880016596801
68,19.133986928104576,27.5,0.08621144386695684
184,18.676470588235293,77.0,0.04
135,18.676470588235293,68.5,0.04
52,18.676470588235293,85.5,0.04
9,18.676470588235293,34.5,0.04
153,18.676470588235293,100.0,0.04
29,18.676470588235293,43.0,0.04
132,18.676470588235293,93.0,0.04
33,18.71078431372549,16.5,0.04
55,18.725490196078432,4.75,0.04
89,20.80555555555556,32.5,0.04
