Avg,Std,Max,QDs
[18.69607843],[0.],[18.69607843],18.70
[18.71078431],[0.01470588],[18.7254902],37.42
[18.71323529],[0.0122549],[18.7254902],37.43
[18.70915033],[0.01155403],[18.7254902],56.13
[18.70915033],[0.01155403],[18.7254902],56.13
[18.0688317],[1.10910953],[18.7254902],72.28
[18.0688317],[1.10910953],[18.7254902],72.28
[18.0688317],[1.10910953],[18.7254902],72.28
[18.0746732],[0.99208652],[18.7254902],90.37
[18.0746732],[0.99208652],[18.7254902],90.37
[18.1999183],[0.75122376],[18.7254902],91.00
[18.1999183],[0.75122376],[18.7254902],91.00
[18.1999183],[0.75122376],[18.7254902],91.00
[18.1999183],[0.75122376],[18.7254902],91.00
[18.1999183],[0.75122376],[18.7254902],91.00
[18.1999183],[0.75122376],[18.7254902],91.00
[18.1999183],[0.75122376],[18.7254902],91.00
[17.96452887],[0.86447781],[18.7254902],107.79
[17.96452887],[0.86447781],[18.7254902],107.79
[17.96452887],[0.86447781],[18.7254902],107.79
[17.96452887],[0.86447781],[18.7254902],107.79
[17.75933707],[0.94508394],[18.7254902],124.32
[17.75933707],[0.94508394],[18.7254902],124.32
[17.75933707],[0.94508394],[18.7254902],124.32
[17.75933707],[0.94508394],[18.7254902],124.32
[17.75933707],[0.94508394],[18.7254902],124.32
[18.07008637],[0.92749759],[18.94934641],126.49
[18.07008637],[0.92749759],[18.94934641],126.49
[18.07008637],[0.92749759],[18.94934641],126.49
[18.07008637],[0.92749759],[18.94934641],126.49
[18.15359477],[0.80285146],[18.94934641],127.08
[18.23225957],[0.68321672],[18.94934641],127.63
[18.23225957],[0.68321672],[18.94934641],127.63
[18.16666667],[0.66223406],[18.94934641],145.33
[18.31433824],[0.5290876],[18.94934641],146.51
[18.31433824],[0.5290876],[18.94934641],146.51
[18.31433824],[0.5290876],[18.94934641],146.51
[18.31433824],[0.5290876],[18.94934641],146.51
[18.17224946],[0.64058077],[18.94934641],163.55
[18.17224946],[0.64058077],[18.94934641],163.55
[18.17224946],[0.64058077],[18.94934641],163.55
[18.17224946],[0.64058077],[18.94934641],163.55
[18.20488381],[0.65331302],[18.94934641],163.84
[18.20488381],[0.65331302],[18.94934641],163.84
[18.28789942],[0.58142921],[18.94934641],164.59
[18.28789942],[0.58142921],[18.94934641],164.59
[18.28789942],[0.58142921],[18.94934641],164.59
[18.28789942],[0.58142921],[18.94934641],164.59
[18.28789942],[0.58142921],[18.94934641],164.59
[18.28789942],[0.58142921],[18.94934641],164.59
[18.34644608],[0.57888111],[18.94934641],183.46
[18.34644608],[0.57888111],[18.94934641],183.46
[18.34644608],[0.57888111],[18.94934641],183.46
[18.34644608],[0.57888111],[18.94934641],183.46
[18.34644608],[0.57888111],[18.94934641],183.46
[18.34644608],[0.57888111],[18.94934641],183.46
[18.35183824],[0.58135027],[18.94934641],183.52
[18.35183824],[0.58135027],[18.94934641],183.52
[18.35183824],[0.58135027],[18.94934641],183.52
[18.39673203],[0.57635249],[18.94934641],183.97
[18.39673203],[0.57635249],[18.94934641],183.97
[18.39673203],[0.57635249],[18.94934641],183.97
[18.37875074],[0.55246455],[18.94934641],202.17
[18.37875074],[0.55246455],[18.94934641],202.17
[18.37875074],[0.55246455],[18.94934641],202.17
[18.37875074],[0.55246455],[18.94934641],202.17
[18.37875074],[0.55246455],[18.94934641],202.17
[18.37875074],[0.55246455],[18.94934641],202.17
[18.37875074],[0.55246455],[18.94934641],202.17
[18.37875074],[0.55246455],[18.94934641],202.17
[18.28135212],[0.61978522],[18.94934641],219.38
[18.28135212],[0.61978522],[18.94934641],219.38
[18.28135212],[0.61978522],[18.94934641],219.38
[18.3237677],[0.65916344],[19.15073529],219.89
[18.3237677],[0.65916344],[19.15073529],219.89
[18.3237677],[0.65916344],[19.15073529],219.89
[18.3237677],[0.65916344],[19.15073529],219.89
[18.3237677],[0.65916344],[19.15073529],219.89
[18.3237677],[0.65916344],[19.15073529],219.89
[18.3237677],[0.65916344],[19.15073529],219.89
[18.3237677],[0.65916344],[19.15073529],219.89
[18.3237677],[0.65916344],[19.15073529],219.89
[18.21703746],[0.73332788],[19.15073529],236.82
[18.21703746],[0.73332788],[19.15073529],236.82
[18.23494847],[0.704088],[19.15073529],237.05
[18.23494847],[0.704088],[19.15073529],237.05
[18.23494847],[0.704088],[19.15073529],237.05
[18.23494847],[0.704088],[19.15073529],237.05
[18.23494847],[0.704088],[19.15073529],237.05
[18.28616767],[0.76981769],[19.53921569],237.72
[18.28616767],[0.76981769],[19.53921569],237.72
[18.28616767],[0.76981769],[19.53921569],237.72
[18.31457391],[0.79998692],[19.53921569],238.09
[18.31457391],[0.79998692],[19.53921569],238.09
[18.31457391],[0.79998692],[19.53921569],238.09
[18.31457391],[0.79998692],[19.53921569],238.09
[18.31457391],[0.79998692],[19.53921569],238.09
[18.31457391],[0.79998692],[19.53921569],238.09
[18.31457391],[0.79998692],[19.53921569],238.09
[18.31457391],[0.79998692],[19.53921569],238.09
